source_id,openalex,issn_l,issn,mag,wikidata,fatcat
4306518338,4306518338,,,,,
2764874868,2764874868,0011-6963,"[""0011-6963""]",2764874868.0,96332519.0,container/hudllbgzojh2fblo2mlknk5o6y
41573172,41573172,0721-2631,"[""0721-2631""]",41573172.0,15753981.0,container/6by37dl3knfxdaew27sfhibjnm
4306486143,4306486143,,,,,
4210222020,4210222020,1405-1109,"[""1405-1109""]",,96730218.0,container/ixpugfjetrfi7mg244n5ufcjne
4306525161,4306525161,,,,,
4210196467,4210196467,0172-6668,"[""0172-6668""]",,27719453.0,container/pg27a2vpzfhgteuwr4zyurrw54
4210205461,4210205461,0079-6824,"[""0079-6824"", ""2235-4328""]",,,
4210210263,4210210263,0894-0819,"[""0894-0819""]",,96696022.0,container/ocfzyw6bprei3cpskfq4qhbdtu
4306466260,4306466260,,,,,
4306523231,4306523231,,,,,
4210180360,4210180360,0137-4729,"[""0137-4729""]",,96726928.0,container/jaquwnhtpzflfirjwtdfmxhn34
2764807277,2764807277,2217-544X,"[""2217-544X"", ""2217-5652""]",2764807277.0,96710246.0,
4306502127,4306502127,0860-4037,"[""0860-4037"", ""2300-8342""]",,2292424.0,
132870446,132870446,0022-3387,"[""0022-3387""]",132870446.0,6295715.0,container/6uogpb7fafesvp7ar2d4nq2oya
4306518129,4306518129,,,,15757440.0,
4210219489,4210219489,1815-1981,"[""1815-1981""]",,,container/mzpyh2zno5a65mie5ehkioswhm
4306463759,4306463759,,,,,
