id,orcid,display_name,display_name_alternatives,works_count,cited_by_count,last_known_institution,works_api_url,updated_date
5074008211,,Catherine P. Browman,"[""C.P Browman"", ""C. P. Browman"", ""Catherine Phebe Browman"", ""Catherine Browman"", ""Catherine P. Browman"", ""C. Browman""]",43,4445,57206974.0,5074008211,2024-02-21T13:52:58.699573
5029831246,,Hervé Darbon,"[""Hervé Darbon"", ""Herve Darbon"", ""H. Darbon""]",158,4441,4210146787.0,5029831246,2024-02-21T16:45:06.410654
5021079206,,D. Glenn Pennington,"[""D. Glenn Pennington"", ""D. G. Pennington"", ""D. Pennington"", ""Dg Pennington""]",130,4434,200719446.0,5021079206,2024-02-21T12:47:06.209446
5068820249,,Wilberth J. J. Smeets,"[""Wilberth J.J Smeets"", ""W. J. J. Smeets"", ""Wilberth J. J. Smeets"", ""Wilberth Smeets""]",134,4434,193662353.0,5068820249,2024-02-21T11:50:44.052942
5010660088,,Makoto Hirosawa,"[""Makoto Hirosawa"", ""M. Hirosawa""]",46,4422,165735259.0,5010660088,2024-02-21T06:51:27.566203
5070810077,,C. T. Dyrness,"[""C. T. Dyrness""]",61,4419,1313416372.0,5070810077,2024-02-21T21:16:51.089106
5004081995,,M. Calicchio,"[""M. Calicchio"", ""Marco Calicchio""]",166,4406,4210134634.0,5004081995,2024-02-21T18:54:05.408539
5020875533,,László Seress,"[""L.ászló Seress"", ""Laszlo Seress"", ""L. Seress""]",121,4403,79741316.0,5020875533,2024-02-21T12:33:09.417870
5037599277,,Folke Pettersson,"[""Folke Pettersson"", ""F. Pettersson""]",85,4403,2799877368.0,5037599277,2024-02-21T22:56:41.281734
5068071279,,Karen E. Wetterhahn,"[""Karen Wetterhahn"", ""K. E. Wetterhahn"", ""Karen E. Wetterhahn""]",73,4385,107672454.0,5068071279,2024-02-21T07:32:14.142924
5070106223,,P Jandı́k,"[""Pavel Jandik"", ""P Jandı́k"", ""P. Jandik"", ""Pavel Jandík"", ""P. Jandík""]",69,4381,4210137570.0,5070106223,2024-02-21T19:32:48.650451
5043391310,,Wolfgang Doppler,"[""Wolfgang Doppler"", ""W. Doppler""]",103,4379,143397708.0,5043391310,2024-02-21T06:12:46.095153
5012722674,,Jeannette J. Townsend,"[""Jeannette J. Townsend"", ""J. Townsend"", ""J. J. Townsend"", ""Jeannette Townsend""]",101,4377,4210153400.0,5012722674,2024-02-21T10:00:07.930331
5047062612,,Cecil R. Stewart,"[""Cecil R. Stewart"", ""C. R. Stewart"", ""Cecil Stewart""]",71,4374,173911158.0,5047062612,2024-02-21T19:09:06.480920
5052378655,,John T. Hunt,"[""J T Hunt"", ""John T. Hunt"", ""Hunt Jt""]",60,4372,4210091812.0,5052378655,2024-02-21T22:44:27.079821
5007972136,,Ezio Merler,"[""Ezio Ed. Merler"", ""E. Merler"", ""Ezio Merler""]",93,4370,153297377.0,5007972136,2024-02-21T03:55:41.608573
5041827931,,Ernest Martinez,"[""Ernest Martinez"", ""E. Martinez"", ""E. Suarez Martinez""]",57,4365,103635307.0,5041827931,2024-02-21T19:20:27.686116
5062686968,,K. L. Leenders,"[""K. L. Leenders"", ""K.L Leenders"", ""Kl Leenders"", ""K. Leenders"", ""Leenders Kl""]",111,4353,1334415907.0,5062686968,2024-02-21T12:03:56.266735
5038664377,,H. Peschel,"[""H. Peschel""]",36,4334,1325886976.0,5038664377,2024-02-21T05:51:08.978790
5033932131,,Christine R. Mason,"[""Christine R. Mason"", ""C. Mason"", ""Christine Rosemary Mason"", ""Christine Mason"", ""C. R. Mason""]",141,4333,111088046.0,5033932131,2024-02-21T15:20:57.575697
5020737678,0000-0001-5584-3206,Hiroko Tanaka,"[""H. Tanaka"", ""Hiroko Tanaka"", ""Tanaka Hiroko""]",187,4326,4210088637.0,5020737678,2024-02-21T06:39:04.604246
5021295149,,Shun‐le Chen,"[""Shun‐Le Chen"", ""C Shun‐le"", ""Chen Shunle"", ""Chen Shun‐Le"", ""Shunle Chen""]",93,4323,2800570007.0,5021295149,2024-02-21T10:10:37.293452
5061357549,,David L. Kirk,"[""D. L. Kirk"", ""David Kirk"", ""David L. Kirk"", ""D. Kirk""]",116,4315,204465549.0,5061357549,2024-02-21T18:36:09.376618
5026914227,,Jean‐Claude Vernant,"[""Jen‐Claude Vernant"", ""J.Cl. Vernant"", ""J. C Vernant"", ""J. C. Vernant"", ""Jean‐Claude Vernant"", ""J. ‐C Vernant"", ""J.‐C. Vernant""]",54,4306,4210135110.0,5026914227,2024-02-21T23:52:43.547685
5032900153,0000-0002-0107-3063,Karen I. Barnes,"[""Karen Irma Barnes"", ""Karen I. Barnes"", ""K. I. Barnes"", ""Katy Barnes"", ""Karen Barnes"", ""K. Barnes""]",167,4305,4210155930.0,5032900153,2024-02-21T14:52:29.868305
5049357009,,C. Wesley Dingman,"[""C. W. Dingman"", ""Charles W. Dingman"", ""C. Wesley Dingman""]",31,4305,1299303238.0,5049357009,2024-02-21T22:00:01.807791
5050053255,,P. D. J. Calcott,"[""P. Calcott"", ""P.D.J Calcott"", ""P. D. J. Calcott"", ""Phillip D. J. Calcott""]",34,4299,173869447.0,5050053255,2024-02-21T20:40:05.018177
