concept_id,openalex,wikidata,wikipedia,umls_aui,umls_cui,mag
79879829,79879829,5571762,Glossary%20of%20biology,,"[""C0175996""]",79879829
2776867660,2776867660,1814941,Economic%20depression,,"[""C0011570""]",2776867660
2776151105,2776151105,898814,Oxidative%20stress,,"[""C0242606""]",2776151105
2911091166,2911091166,106419912,Transplant,"[""A0127842"", ""A0127843"", ""A0127844"", ""A0135313"", ""A0135314"", ""A18668786"", ""A21144294"", ""A23901795"", ""A23927407"", ""A24100128"", ""A2887546"", ""A3830197"", ""A3879774"", ""A7574213""]","[""C0040732""]",2911091166
76886044,76886044,2883300,Hydrology%20%28agriculture%29,,"[""C3494261""]",76886044
204232928,204232928,899285,Immunohistochemistry,,"[""C0021044""]",204232928
33332235,33332235,18362,Theoretical%20physics,,,33332235
124952713,124952713,8242,Literature,,"[""C0023866""]",124952713
2777904410,2777904410,7397,Software,,"[""C0037585""]",2777904410
2780451532,2780451532,759676,Task%20%28project%20management%29,,"[""C3540678""]",2780451532
4839761,4839761,212111,Spectral%20line,,,4839761
3008058167,3008058167,84263196,COVID-19,,"[""C5203670""]",3008058167
127162648,127162648,16858953,Channel%20%28broadcasting%29,,"[""C0439799""]",127162648
2777714996,2777714996,7886,Lung,,"[""C0024109""]",2777714996
68801617,68801617,162908,Electrolyte,,"[""C0013832""]",68801617
118615104,118615104,121416,Discrete%20mathematics,,,118615104
34447519,34447519,179522,Market%20economy,,,34447519
2909208804,2909208804,127282,Actinopterygii,"[""A17600248""]","[""C0162789""]",2909208804
118518473,118518473,11451,Agriculture,,"[""C0001829""]",118518473
2778407487,2778407487,14565201,Altmetrics,,,2778407487
2776090121,2776090121,193529,T%20cell,,"[""C0039194""]",2776090121
191486275,191486275,210028,Scattering,,"[""C0439742""]",191486275
21547014,21547014,1423657,Operations%20management,,,21547014
535046627,535046627,30612,Clinical%20trial,,"[""C0008976""]",535046627
12713177,12713177,1900281,Perspective%20%28graphical%29,,"[""C0870817""]",12713177
15920480,15920480,421281,Copolymer,,"[""C0596383""]",15920480
131872663,131872663,5284418,Obstetrics,,"[""C0026082""]",131872663
11960822,11960822,242736,Phosphorylation,,"[""C0031715""]",11960822
545542383,545542383,2751242,Medical%20emergency,,,545542383
2780035454,2780035454,8386,Drug,,"[""C0013227""]",2780035454
